2.16	1.36
2.08	1.28
2.16	1.28
1.92	1.2
1.76	1.28
1.84	1.12
1.84	1.28
1.84	1.04
1.76	1.12
1.76	0.96
1.68	0.96
1.6	0.72
1.6	0.96
1.52	0.88
1.44	0.72
1.44	0.72
1.36	0.72
1.36	0.72
1.28	0.56
1.28	0.48
1.2	0.48
1.12	0.48
1.12	0.4
1.12	0.4
0.96	0.24
1.04	0.24
0.8	0.08
0.88	0.16
0.72	0.16
0.72	0.08
0.8	0.08
0.8	0
0.72	-0.08
0.56	-0.16
0.56	-0.08
0.64	-0.16
0.4	-0.16
0.4	-0.32
0.32	-0.4
0.32	-0.24
0.24	-0.48
0.16	-0.64
0.16	-0.4
0.16	-0.56
0	-0.8
0	-0.72
-0.08	-0.72
-0.08	-0.8
-0.08	-0.8
-0.32	-0.8
-0.32	-0.88
-0.16	-0.96
-0.32	-1.04
-0.32	-0.88
-0.4	-1.04
-0.4	-1.04
-0.56	-1.2
-0.56	-1.2
-0.72	-1.28
-0.64	-1.36
-0.64	-1.36
-0.8	-1.44
-0.88	-1.44
-0.88	-1.52
-0.96	-1.52
-1.04	-1.6
-0.96	-1.76
-0.88	-1.68
-1.04	-1.84
-1.28	-1.76
-1.2	-1.92
-1.28	-1.92
-1.2	-2
-1.36	-1.92
-1.44	-2.08
-1.44	-2.08
-1.52	-2.24
-1.44	-2.32
-1.6	-2.24
-1.68	-2.32
-1.68	-2.48
-1.68	-2.48
-1.68	-2.48
-1.92	-2.48
-1.92	-2.48
-1.92	-2.56
-1.92	-2.72
-2	-2.64
-2.16	-2.72
-2.08	-2.8
-2.08	-2.72
-2.16	-2.72
-2.24	-2.8
-2.24	-3.04
-2.24	-3.12
-2.4	-3.12
-2.4	-3.12
-2.48	-3.12
-2.64	-3.2
-2.64	-3.28
-2.56	-3.2
-2.72	-3.2
-2.64	-3.44
-2.8	-3.36
-2.8	-3.44
-2.8	-3.52
-2.88	-3.52
-2.96	-3.6
-3.04	-3.76
-2.96	-3.76
-3.12	-3.76
-3.12	-3.76
-3.12	-3.84
-3.28	-3.84
-3.28	-3.76
-3.44	-3.92
-3.44	-3.84
-3.44	-4
-3.44	-4.08
-3.52	-4
-3.52	-4.08
-3.52	-4
-3.68	-4.16
-3.76	-4.32
-3.68	-4.24
-3.68	-4.4
-3.68	-4.4
-3.76	-4.4
-3.92	-4.4
-4	-4.56
-3.84	-4.56
-4	-4.48
-4.08	-4.56
-4.08	-4.64
-4.08	-4.64
-4.08	-4.8
-4.08	-4.64
-4.08	-4.8
-4.16	-4.88
-4.32	-4.88
-4.32	-4.88
-4.32	-5.04
-4.4	-5.04
-4.48	-5.04
-4.48	-5.12
-4.56	-5.04
-4.56	-5.04
-4.56	-5.12
-4.56	-5.2
-4.64	-5.28
-4.72	-5.12
-4.64	-5.28
-4.72	-5.28
-4.8	-5.36
-4.88	-5.36
-4.96	-5.52
-4.88	-5.44
-4.96	-5.6
-4.88	-5.52
-5.12	-5.6
-4.96	-5.6
-5.12	-5.68
-5.2	-5.68
-5.2	-5.68
-5.12	-5.76
-5.12	-5.84
-5.2	-5.76
-5.36	-5.84
-5.28	-5.92
-5.28	-5.92
-5.36	-5.92
-5.36	-5.92
-5.44	-6
-5.36	-5.92
-5.52	-6
-5.44	-6.16
-5.6	-6.16
-5.52	-6.08
-5.52	-6.16
-5.6	-6
-5.68	-6.24
-5.76	-6.16
-5.68	-6.24
-5.68	-6.32
-5.76	-6.32
-5.84	-6.48
-5.68	-6.32
-5.92	-6.32
-5.76	-6.56
-5.92	-6.48
-5.84	-6.48
-5.84	-6.56
-6	-6.48
-5.92	-6.56
-6	-6.56
-6.08	-6.56
-6	-6.64
-6	-6.56
-6.08	-6.64
-6.08	-6.64
-6.16	-6.72
-6.16	-6.56
-6.16	-6.64
-6.16	-6.8
-6.08	-6.72
-6.16	-6.72
-6.24	-6.8
